hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat
40,80,100,30,30,20,rock,ground,geodude,300
55,95,115,45,45,35,rock,ground,graveler,390
80,120,130,55,65,45,rock,ground,golem,495
50,85,55,65,65,90,fire,,ponyta,410
65,100,70,80,80,105,fire,,rapidash,500
90,65,65,40,40,15,water,psychic,slowpoke,315
95,75,110,100,80,30,water,psychic,slowbro,490
25,35,70,95,55,45,electric,steel,magnemite,325
50,60,95,120,70,70,electric,steel,magneton,465
52,90,55,58,62,60,normal,flying,farfetchd,377
35,85,45,35,35,75,normal,flying,doduo,310
60,110,70,60,60,110,normal,flying,dodrio,470
65,45,55,45,70,45,water,,seel,325
90,70,80,70,95,70,water,ice,dewgong,475
80,80,50,40,50,25,poison,,grimer,325
105,105,75,65,100,50,poison,,muk,500
30,65,100,45,25,40,water,,shellder,305
50,95,180,85,45,70,water,ice,cloyster,525
30,35,30,100,35,80,ghost,poison,gastly,310
45,50,45,115,55,95,ghost,poison,haunter,405
60,65,60,130,75,110,ghost,poison,gengar,500
35,45,160,30,45,70,rock,ground,onix,385
60,48,45,43,90,42,psychic,,drowzee,328
85,73,70,73,115,67,psychic,,hypno,483
30,105,90,25,25,50,water,,krabby,325
55,130,115,50,50,75,water,,kingler,475
40,30,50,55,55,100,electric,,voltorb,330
60,50,70,80,80,150,electric,,electrode,490
60,40,80,60,45,40,grass,psychic,exeggcute,325
95,95,85,125,75,55,grass,psychic,exeggutor,530
50,50,95,40,50,35,ground,,cubone,320
60,80,110,50,80,45,ground,,marowak,425
50,120,53,35,110,87,fighting,,hitmonlee,455
50,105,79,35,110,76,fighting,,hitmonchan,455
90,55,75,60,75,30,normal,,lickitung,385
40,65,95,60,45,35,poison,,koffing,340
65,90,120,85,70,60,poison,,weezing,490
80,85,95,30,30,25,ground,rock,rhyhorn,345
105,130,120,45,45,40,ground,rock,rhydon,485
250,5,5,35,105,50,normal,,chansey,450
65,55,115,100,40,60,grass,,tangela,435
105,95,80,40,80,90,normal,,kangaskhan,490
30,40,70,70,25,60,water,,horsea,295
55,65,95,95,45,85,water,,seadra,440
45,67,60,35,50,63,water,,goldeen,320
80,92,65,65,80,68,water,,seaking,450
30,45,55,70,55,85,water,,staryu,340
60,75,85,100,85,115,water,psychic,starmie,520
40,45,65,100,120,90,psychic,fairy,mr-mime,460
70,110,80,55,80,105,bug,flying,scyther,500
65,50,35,115,95,95,ice,psychic,jynx,455
65,83,57,95,85,105,electric,,electabuzz,490
65,95,57,100,85,93,fire,,magmar,495
65,125,100,55,70,85,bug,,pinsir,500
75,100,95,40,70,110,normal,,tauros,490
20,10,55,15,20,80,water,,magikarp,200
95,125,79,60,100,81,water,flying,gyarados,540
130,85,80,85,95,60,water,ice,lapras,535
48,48,48,48,48,48,normal,,ditto,288
55,55,50,45,65,55,normal,,eevee,325
130,65,60,110,95,65,water,,vaporeon,525
65,65,60,110,95,130,electric,,jolteon,525
65,130,60,95,110,65,fire,,flareon,525
65,60,70,85,75,40,normal,,porygon,395
35,40,100,90,55,35,rock,water,omanyte,355
70,60,125,115,70,55,rock,water,omastar,495
30,80,90,55,45,55,rock,water,kabuto,355
60,115,105,65,70,80,rock,water,kabutops,495
80,105,65,60,75,130,rock,flying,aerodactyl,515
160,110,65,65,110,30,normal,,snorlax,540
90,85,100,95,125,85,ice,flying,articuno,580
90,90,85,125,90,100,electric,flying,zapdos,580
90,100,90,125,85,90,fire,flying,moltres,580
41,64,45,50,50,50,dragon,,dratini,300
61,84,65,70,70,70,dragon,,dragonair,420
91,134,95,100,100,80,dragon,flying,dragonite,600
106,110,90,154,90,130,psychic,,mewtwo,680
100,100,100,100,100,100,psychic,,mew,600
