hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat,generation,avg_power
60,95,80,60,80,30,Bug,Grass,Parasect,405,1,77
60,55,50,40,55,45,Bug,Poison,Venonat,305,1,47
70,65,60,90,75,90,Bug,Poison,Venomoth,450,1,77
10,55,25,35,45,95,Ground,N/A,Diglett,265,1,45
35,100,50,50,70,120,Ground,N/A,Dugtrio,425,1,75
40,45,35,40,40,90,Normal,N/A,Meowth,290,1,42
65,70,60,65,65,115,Normal,N/A,Persian,440,1,67
50,52,48,65,50,55,Water,N/A,Psyduck,320,1,58
80,82,78,95,80,85,Water,N/A,Golduck,500,1,88
40,80,35,35,45,70,Fighting,N/A,Mankey,305,1,57
65,105,60,60,70,95,Fighting,N/A,Primeape,455,1,82
55,70,45,70,50,60,Fire,N/A,Growlithe,350,1,70
90,110,80,100,80,95,Fire,N/A,Arcanine,555,1,105
40,50,40,40,40,90,Water,N/A,Poliwag,300,1,45
65,65,65,50,50,90,Water,N/A,Poliwhirl,385,1,57
90,95,95,70,90,70,Water,Fighting,Poliwrath,510,1,82
25,20,15,105,55,90,Psychic,N/A,Abra,310,1,62
40,35,30,120,70,105,Psychic,N/A,Kadabra,400,1,77
55,50,45,135,95,120,Psychic,N/A,Alakazam,500,1,92
70,80,50,35,35,35,Fighting,N/A,Machop,305,1,57
80,100,70,50,60,45,Fighting,N/A,Machoke,405,1,75
90,130,80,65,85,55,Fighting,N/A,Machamp,505,1,97
50,75,35,70,30,40,Grass,Poison,Bellsprout,300,1,72
65,90,50,85,45,55,Grass,Poison,Weepinbell,390,1,87
80,105,65,100,70,70,Grass,Poison,Victreebel,490,1,102
40,40,35,50,100,70,Water,Poison,Tentacool,335,1,45
80,70,65,80,120,100,Water,Poison,Tentacruel,515,1,75
40,80,100,30,30,20,Rock,Ground,Geodude,300,1,55
55,95,115,45,45,35,Rock,Ground,Graveler,390,1,70
80,120,130,55,65,45,Rock,Ground,Golem,495,1,87
50,85,55,65,65,90,Fire,N/A,Ponyta,410,1,75
65,100,70,80,80,105,Fire,N/A,Rapidash,500,1,90
90,65,65,40,40,15,Water,Psychic,Slowpoke,315,1,52
95,75,110,100,80,30,Water,Psychic,Slowbro,490,1,87
25,35,70,95,55,45,Electric,Steel,Magnemite,325,1,65
50,60,95,120,70,70,Electric,Steel,Magneton,465,1,90
52,90,55,58,62,60,Normal,Flying,Farfetchd,377,1,74
35,85,45,35,35,75,Normal,Flying,Doduo,310,1,60
60,110,70,60,60,110,Normal,Flying,Dodrio,470,1,85
65,45,55,45,70,45,Water,N/A,Seel,325,1,45
90,70,80,70,95,70,Water,Ice,Dewgong,475,1,70
80,80,50,40,50,25,Poison,N/A,Grimer,325,1,60
105,105,75,65,100,50,Poison,N/A,Muk,500,1,85
30,65,100,45,25,40,Water,N/A,Shellder,305,1,55
50,95,180,85,45,70,Water,Ice,Cloyster,525,1,90
30,35,30,100,35,80,Ghost,Poison,Gastly,310,1,67
45,50,45,115,55,95,Ghost,Poison,Haunter,405,1,82
60,65,60,130,75,110,Ghost,Poison,Gengar,500,1,97
35,45,160,30,45,70,Rock,Ground,Onix,385,1,37
60,48,45,43,90,42,Psychic,N/A,Drowzee,328,1,45
85,73,70,73,115,67,Psychic,N/A,Hypno,483,1,73
30,105,90,25,25,50,Water,N/A,Krabby,325,1,65
55,130,115,50,50,75,Water,N/A,Kingler,475,1,90
40,30,50,55,55,100,Electric,N/A,Voltorb,330,1,42
60,50,70,80,80,150,Electric,N/A,Electrode,490,1,65
60,40,80,60,45,40,Grass,Psychic,Exeggcute,325,1,50
95,95,85,125,75,55,Grass,Psychic,Exeggutor,530,1,110
50,50,95,40,50,35,Ground,N/A,Cubone,320,1,45
60,80,110,50,80,45,Ground,N/A,Marowak,425,1,65
50,120,53,35,110,87,Fighting,N/A,Hitmonlee,455,1,77
50,105,79,35,110,76,Fighting,N/A,Hitmonchan,455,1,70
90,55,75,60,75,30,Normal,N/A,Lickitung,385,1,57
40,65,95,60,45,35,Poison,N/A,Koffing,340,1,62
65,90,120,85,70,60,Poison,N/A,Weezing,490,1,87
80,85,95,30,30,25,Ground,Rock,Rhyhorn,345,1,57
105,130,120,45,45,40,Ground,Rock,Rhydon,485,1,87
250,5,5,35,105,50,Normal,N/A,Chansey,450,1,20
65,55,115,100,40,60,Grass,N/A,Tangela,435,1,77
105,95,80,40,80,90,Normal,N/A,Kangaskhan,490,1,67
30,40,70,70,25,60,Water,N/A,Horsea,295,1,55
55,65,95,95,45,85,Water,N/A,Seadra,440,1,80
45,67,60,35,50,63,Water,N/A,Goldeen,320,1,51
80,92,65,65,80,68,Water,N/A,Seaking,450,1,78
30,45,55,70,55,85,Water,N/A,Staryu,340,1,57
60,75,85,100,85,115,Water,Psychic,Starmie,520,1,87
40,45,65,100,120,90,Psychic,Fairy,Mr-Mime,460,1,72
70,110,80,55,80,105,Bug,Flying,Scyther,500,1,82
65,50,35,115,95,95,Ice,Psychic,Jynx,455,1,82
65,83,57,95,85,105,Electric,N/A,Electabuzz,490,1,89
65,95,57,100,85,93,Fire,N/A,Magmar,495,1,97
65,125,100,55,70,85,Bug,N/A,Pinsir,500,1,90
75,100,95,40,70,110,Normal,N/A,Tauros,490,1,70
20,10,55,15,20,80,Water,N/A,Magikarp,200,1,12
95,125,79,60,100,81,Water,Flying,Gyarados,540,1,92
130,85,80,85,95,60,Water,Ice,Lapras,535,1,85
48,48,48,48,48,48,Normal,N/A,Ditto,288,1,48
55,55,50,45,65,55,Normal,N/A,Eevee,325,1,50
130,65,60,110,95,65,Water,N/A,Vaporeon,525,1,87
65,65,60,110,95,130,Electric,N/A,Jolteon,525,1,87
65,130,60,95,110,65,Fire,N/A,Flareon,525,1,112
65,60,70,85,75,40,Normal,N/A,Porygon,395,1,72
35,40,100,90,55,35,Rock,Water,Omanyte,355,1,65
70,60,125,115,70,55,Rock,Water,Omastar,495,1,87
30,80,90,55,45,55,Rock,Water,Kabuto,355,1,67
60,115,105,65,70,80,Rock,Water,Kabutops,495,1,90
80,105,65,60,75,130,Rock,Flying,Aerodactyl,515,1,82
160,110,65,65,110,30,Normal,N/A,Snorlax,540,1,87
90,85,100,95,125,85,Ice,Flying,Articuno,580,1,90
90,90,85,125,90,100,Electric,Flying,Zapdos,580,1,107
90,100,90,125,85,90,Fire,Flying,Moltres,580,1,112
41,64,45,50,50,50,Dragon,N/A,Dratini,300,1,57
61,84,65,70,70,70,Dragon,N/A,Dragonair,420,1,77
91,134,95,100,100,80,Dragon,Flying,Dragonite,600,1,117
106,110,90,154,90,130,Psychic,N/A,Mewtwo,680,1,132
100,100,100,100,100,100,Psychic,N/A,Mew,600,1,100
45,49,65,49,65,45,Grass,N/A,Chikorita,318,2,49
60,62,80,63,80,60,Grass,N/A,Bayleef,405,2,62
80,82,100,83,100,80,Grass,N/A,Meganium,525,2,82
39,52,43,60,50,65,Fire,N/A,Cyndaquil,309,2,56
58,64,58,80,65,80,Fire,N/A,Quilava,405,2,72
78,84,78,109,85,100,Fire,N/A,Typhlosion,534,2,96
50,65,64,44,48,43,Water,N/A,Totodile,314,2,54
65,80,80,59,63,58,Water,N/A,Croconaw,405,2,69
85,105,100,79,83,78,Water,N/A,Feraligatr,530,2,92
35,46,34,35,45,20,Normal,N/A,Sentret,215,2,40
85,76,64,45,55,90,Normal,N/A,Furret,415,2,60
60,30,30,36,56,50,Normal,Flying,Hoothoot,262,2,33
100,50,50,86,96,70,Normal,Flying,Noctowl,452,2,68
40,20,30,40,80,55,Bug,Flying,Ledyba,265,2,30
55,35,50,55,110,85,Bug,Flying,Ledian,390,2,45
40,60,40,40,40,30,Bug,Poison,Spinarak,250,2,50
70,90,70,60,70,40,Bug,Poison,Ariados,400,2,75
85,90,80,70,80,130,Poison,Flying,Crobat,535,2,80
75,38,38,56,56,67,Water,Electric,Chinchou,330,2,47
125,58,58,76,76,67,Water,Electric,Lanturn,460,2,67
20,40,15,35,35,60,Electric,N/A,Pichu,205,2,37
50,25,28,45,55,15,Fairy,N/A,Cleffa,218,2,35
90,30,15,40,20,15,Normal,Fairy,Igglybuff,210,2,35
35,20,65,40,65,20,Fairy,N/A,Togepi,245,2,30
55,40,85,80,105,40,Fairy,Flying,Togetic,405,2,60
40,50,45,70,45,70,Psychic,Flying,Natu,320,2,60
65,75,70,95,70,95,Psychic,Flying,Xatu,470,2,85
55,40,40,65,45,35,Electric,N/A,Mareep,280,2,52
70,55,55,80,60,45,Electric,N/A,Flaaffy,365,2,67
90,75,85,115,90,55,Electric,N/A,Ampharos,510,2,95
75,80,95,90,100,50,Grass,N/A,Bellossom,490,2,85
70,20,50,20,50,40,Water,Fairy,Marill,250,2,20
100,50,80,60,80,50,Water,Fairy,Azumarill,420,2,55
70,100,115,30,65,30,Rock,N/A,Sudowoodo,410,2,65
90,75,75,90,100,70,Water,N/A,Politoed,500,2,82
35,35,40,35,55,50,Grass,Flying,Hoppip,250,2,35
55,45,50,45,65,80,Grass,Flying,Skiploom,340,2,45
75,55,70,55,95,110,Grass,Flying,Jumpluff,460,2,55
55,70,55,40,55,85,Normal,N/A,Aipom,360,2,55
30,30,30,30,30,30,Grass,N/A,Sunkern,180,2,30
75,75,55,105,85,30,Grass,N/A,Sunflora,425,2,90
65,65,45,75,45,95,Bug,Flying,Yanma,390,2,70
55,45,45,25,25,15,Water,Ground,Wooper,210,2,35
95,85,85,65,65,35,Water,Ground,Quagsire,430,2,75
65,65,60,130,95,110,Psychic,N/A,Espeon,525,2,97
95,65,110,60,130,65,Dark,N/A,Umbreon,525,2,62
60,85,42,85,42,91,Dark,Flying,Murkrow,405,2,85
95,75,80,100,110,30,Water,Psychic,Slowking,490,2,87
60,60,60,85,85,85,Ghost,N/A,Misdreavus,435,2,72
48,72,48,72,48,48,Psychic,N/A,Unown,336,2,72
190,33,58,33,58,33,Psychic,N/A,Wobbuffet,405,2,33
70,80,65,90,65,85,Normal,Psychic,Girafarig,455,2,85
50,65,90,35,35,15,Bug,N/A,Pineco,290,2,50
75,90,140,60,60,40,Bug,Steel,Forretress,465,2,75
100,70,70,65,65,45,Normal,N/A,Dunsparce,415,2,67
65,75,105,35,65,85,Ground,Flying,Gligar,430,2,55
75,85,200,55,65,30,Steel,Ground,Steelix,510,2,70
60,80,50,40,40,30,Fairy,N/A,Snubbull,300,2,60
90,120,75,60,60,45,Fairy,N/A,Granbull,450,2,90
65,95,85,55,55,85,Water,Poison,Qwilfish,440,2,75
70,130,100,55,80,65,Bug,Steel,Scizor,500,2,92
20,10,230,10,230,5,Bug,Rock,Shuckle,505,2,10
80,125,75,40,95,85,Bug,Fighting,Heracross,500,2,82
55,95,55,35,75,115,Dark,Ice,Sneasel,430,2,65
60,80,50,50,50,40,Normal,N/A,Teddiursa,330,2,65
90,130,75,75,75,55,Normal,N/A,Ursaring,500,2,102
40,40,40,70,40,20,Fire,N/A,Slugma,250,2,55
60,50,120,90,80,30,Fire,Rock,Magcargo,430,2,70
50,50,40,30,30,50,Ice,Ground,Swinub,250,2,40
100,100,80,60,60,50,Ice,Ground,Piloswine,450,2,80
65,55,95,65,95,35,Water,Rock,Corsola,410,2,60
35,65,35,65,35,65,Water,N/A,Remoraid,300,2,65
75,105,75,105,75,45,Water,N/A,Octillery,480,2,105
45,55,45,65,45,75,Ice,Flying,Delibird,330,2,60
85,40,70,80,140,70,Water,Flying,Mantine,485,2,60
65,80,140,40,70,70,Steel,Flying,Skarmory,465,2,60
45,60,30,80,50,65,Dark,Fire,Houndour,330,2,70
75,90,50,110,80,95,Dark,Fire,Houndoom,500,2,100
75,95,95,95,95,85,Water,Dragon,Kingdra,540,2,95
90,60,60,40,40,40,Ground,N/A,Phanpy,330,2,50
90,120,120,60,60,50,Ground,N/A,Donphan,500,2,90
85,80,90,105,95,60,Normal,N/A,Porygon2,515,2,92
73,95,62,85,65,85,Normal,N/A,Stantler,465,2,90
55,20,35,20,45,75,Normal,N/A,Smeargle,250,2,20
35,35,35,35,35,35,Fighting,N/A,Tyrogue,210,2,35
50,95,95,35,110,70,Fighting,N/A,Hitmontop,455,2,65
45,30,15,85,65,65,Ice,Psychic,Smoochum,305,2,57
45,63,37,65,55,95,Electric,N/A,Elekid,360,2,64
45,75,37,70,55,83,Fire,N/A,Magby,365,2,72
95,80,105,40,70,100,Normal,N/A,Miltank,490,2,60
255,10,10,75,135,55,Normal,N/A,Blissey,540,2,42
90,85,75,115,100,115,Electric,N/A,Raikou,580,2,100
115,115,85,90,75,100,Fire,N/A,Entei,580,2,102
100,75,115,90,115,85,Water,N/A,Suicune,580,2,82
50,64,50,45,50,41,Rock,Ground,Larvitar,300,2,54
70,84,70,65,70,51,Rock,Ground,Pupitar,410,2,74
100,134,110,95,100,61,Rock,Dark,Tyranitar,600,2,114
106,90,130,90,154,110,Psychic,Flying,Lugia,680,2,90
106,130,90,110,154,90,Fire,Flying,Ho-Oh,680,2,120
100,100,100,100,100,100,Psychic,Grass,Celebi,600,2,100
40,45,35,65,55,70,Grass,N/A,Treecko,310,3,55
50,65,45,85,65,95,Grass,N/A,Grovyle,405,3,75
70,85,65,105,85,120,Grass,N/A,Sceptile,530,3,95
45,60,40,70,50,45,Fire,N/A,Torchic,310,3,65
60,85,60,85,60,55,Fire,Fighting,Combusken,405,3,85
80,120,70,110,70,80,Fire,Fighting,Blaziken,530,3,115
50,70,50,50,50,40,Water,N/A,Mudkip,310,3,60
70,85,70,60,70,50,Water,Ground,Marshtomp,405,3,72
100,110,90,85,90,60,Water,Ground,Swampert,535,3,97
35,55,35,30,30,35,Dark,N/A,Poochyena,220,3,42
70,90,70,60,60,70,Dark,N/A,Mightyena,420,3,75
38,30,41,30,41,60,Normal,N/A,Zigzagoon,240,3,30
78,70,61,50,61,100,Normal,N/A,Linoone,420,3,60
45,45,35,20,30,20,Bug,N/A,Wurmple,195,3,32
50,35,55,25,25,15,Bug,N/A,Silcoon,205,3,30
60,70,50,100,50,65,Bug,Flying,Beautifly,395,3,85
50,35,55,25,25,15,Bug,N/A,Cascoon,205,3,30
60,50,70,50,90,65,Bug,Poison,Dustox,385,3,50
40,30,30,40,50,30,Water,Grass,Lotad,220,3,35
60,50,50,60,70,50,Water,Grass,Lombre,340,3,55
80,70,70,90,100,70,Water,Grass,Ludicolo,480,3,80
40,40,50,30,30,30,Grass,N/A,Seedot,220,3,35
70,70,40,60,40,60,Grass,Dark,Nuzleaf,340,3,65
90,100,60,90,60,80,Grass,Dark,Shiftry,480,3,95
40,55,30,30,30,85,Normal,Flying,Taillow,270,3,42
60,85,60,75,50,125,Normal,Flying,Swellow,455,3,80
40,30,30,55,30,85,Water,Flying,Wingull,270,3,42
60,50,100,95,70,65,Water,Flying,Pelipper,440,3,72
28,25,25,45,35,40,Psychic,Fairy,Ralts,198,3,35
38,35,35,65,55,50,Psychic,Fairy,Kirlia,278,3,50
68,65,65,125,115,80,Psychic,Fairy,Gardevoir,518,3,95
40,30,32,50,52,65,Bug,Water,Surskit,269,3,40
70,60,62,100,82,80,Bug,Flying,Masquerain,454,3,80
60,40,60,40,60,35,Grass,N/A,Shroomish,295,3,40
60,130,80,60,60,70,Grass,Fighting,Breloom,460,3,95
60,60,60,35,35,30,Normal,N/A,Slakoth,280,3,47
80,80,80,55,55,90,Normal,N/A,Vigoroth,440,3,67
150,160,100,95,65,100,Normal,N/A,Slaking,670,3,127
31,45,90,30,30,40,Bug,Ground,Nincada,266,3,37
61,90,45,50,50,160,Bug,Flying,Ninjask,456,3,70
1,90,45,30,30,40,Bug,Ghost,Shedinja,236,3,60
64,51,23,51,23,28,Normal,N/A,Whismur,240,3,51
84,71,43,71,43,48,Normal,N/A,Loudred,360,3,71
104,91,63,91,73,68,Normal,N/A,Exploud,490,3,91
72,60,30,20,30,25,Fighting,N/A,Makuhita,237,3,40
144,120,60,40,60,50,Fighting,N/A,Hariyama,474,3,80
50,20,40,20,40,20,Normal,Fairy,Azurill,190,3,20
30,45,135,45,90,30,Rock,N/A,Nosepass,375,3,45
50,45,45,35,35,50,Normal,N/A,Skitty,260,3,40
70,65,65,55,55,90,Normal,N/A,Delcatty,400,3,60
50,75,75,65,65,50,Dark,Ghost,Sableye,380,3,70
50,85,85,55,55,50,Steel,Fairy,Mawile,380,3,70
50,70,100,40,40,30,Steel,Rock,Aron,330,3,55
60,90,140,50,50,40,Steel,Rock,Lairon,430,3,70
70,110,180,60,60,50,Steel,Rock,Aggron,530,3,85
30,40,55,40,55,60,Fighting,Psychic,Meditite,280,3,40
60,60,75,60,75,80,Fighting,Psychic,Medicham,410,3,60
40,45,40,65,40,65,Electric,N/A,Electrike,295,3,55
70,75,60,105,60,105,Electric,N/A,Manectric,475,3,90
60,50,40,85,75,95,Electric,N/A,Plusle,405,3,67
60,40,50,75,85,95,Electric,N/A,Minun,405,3,57
65,73,75,47,85,85,Bug,N/A,Volbeat,430,3,60
65,47,75,73,85,85,Bug,N/A,Illumise,430,3,60
50,60,45,100,80,65,Grass,Poison,Roselia,400,3,80
70,43,53,43,53,40,Poison,N/A,Gulpin,302,3,43
100,73,83,73,83,55,Poison,N/A,Swalot,467,3,73
45,90,20,65,20,65,Water,Dark,Carvanha,305,3,77
70,120,40,95,40,95,Water,Dark,Sharpedo,460,3,107
130,70,35,70,35,60,Water,N/A,Wailmer,400,3,70
170,90,45,90,45,60,Water,N/A,Wailord,500,3,90
60,60,40,65,45,35,Fire,Ground,Numel,305,3,62
70,100,70,105,75,40,Fire,Ground,Camerupt,460,3,102
70,85,140,85,70,20,Fire,N/A,Torkoal,470,3,85
60,25,35,70,80,60,Psychic,N/A,Spoink,330,3,47
80,45,65,90,110,80,Psychic,N/A,Grumpig,470,3,67
60,60,60,60,60,60,Normal,N/A,Spinda,360,3,60
45,100,45,45,45,10,Ground,N/A,Trapinch,290,3,72
50,70,50,50,50,70,Ground,Dragon,Vibrava,340,3,60
80,100,80,80,80,100,Ground,Dragon,Flygon,520,3,90
50,85,40,85,40,35,Grass,N/A,Cacnea,335,3,85
70,115,60,115,60,55,Grass,Dark,Cacturne,475,3,115
45,40,60,40,75,50,Normal,Flying,Swablu,310,3,40
75,70,90,70,105,80,Dragon,Flying,Altaria,490,3,70
73,115,60,60,60,90,Normal,N/A,Zangoose,458,3,87
73,100,60,100,60,65,Poison,N/A,Seviper,458,3,100
90,55,65,95,85,70,Rock,Psychic,Lunatone,460,3,75
90,95,85,55,65,70,Rock,Psychic,Solrock,460,3,75
50,48,43,46,41,60,Water,Ground,Barboach,288,3,47
110,78,73,76,71,60,Water,Ground,Whiscash,468,3,77
43,80,65,50,35,35,Water,N/A,Corphish,308,3,65
63,120,85,90,55,55,Water,Dark,Crawdaunt,468,3,105
40,40,55,40,70,55,Ground,Psychic,Baltoy,300,3,40
60,70,105,70,120,75,Ground,Psychic,Claydol,500,3,70
66,41,77,61,87,23,Rock,Grass,Lileep,355,3,51
86,81,97,81,107,43,Rock,Grass,Cradily,495,3,81
45,95,50,40,50,75,Rock,Bug,Anorith,355,3,67
75,125,100,70,80,45,Rock,Bug,Armaldo,495,3,97
20,15,20,10,55,80,Water,N/A,Feebas,200,3,12
95,60,79,100,125,81,Water,N/A,Milotic,540,3,80
70,70,70,70,70,70,Normal,N/A,Castform,420,3,70
60,90,70,60,120,40,Normal,N/A,Kecleon,440,3,75
44,75,35,63,33,45,Ghost,N/A,Shuppet,295,3,69
64,115,65,83,63,65,Ghost,N/A,Banette,455,3,99
20,40,90,30,90,25,Ghost,N/A,Duskull,295,3,35
40,70,130,60,130,25,Ghost,N/A,Dusclops,455,3,65
99,68,83,72,87,51,Grass,Flying,Tropius,460,3,70
75,50,80,95,90,65,Psychic,N/A,Chimecho,455,3,72
65,130,60,75,60,75,Dark,N/A,Absol,465,3,102
95,23,48,23,48,23,Psychic,N/A,Wynaut,260,3,23
50,50,50,50,50,50,Ice,N/A,Snorunt,300,3,50
80,80,80,80,80,80,Ice,N/A,Glalie,480,3,80
70,40,50,55,50,25,Ice,Water,Spheal,290,3,47
90,60,70,75,70,45,Ice,Water,Sealeo,410,3,67
110,80,90,95,90,65,Ice,Water,Walrein,530,3,87
35,64,85,74,55,32,Water,N/A,Clamperl,345,3,69
55,104,105,94,75,52,Water,N/A,Huntail,485,3,99
55,84,105,114,75,52,Water,N/A,Gorebyss,485,3,99
100,90,130,45,65,55,Water,Rock,Relicanth,485,3,67
43,30,55,40,65,97,Water,N/A,Luvdisc,330,3,35
45,75,60,40,30,50,Dragon,N/A,Bagon,300,3,57
65,95,100,60,50,50,Dragon,N/A,Shelgon,420,3,77
95,135,80,110,80,100,Dragon,Flying,Salamence,600,3,122
40,55,80,35,60,30,Steel,Psychic,Beldum,300,3,45
60,75,100,55,80,50,Steel,Psychic,Metang,420,3,65
80,135,130,95,90,70,Steel,Psychic,Metagross,600,3,115
80,100,200,50,100,50,Rock,N/A,Regirock,580,3,75
80,50,100,100,200,50,Ice,N/A,Regice,580,3,75
80,75,150,75,150,50,Steel,N/A,Registeel,580,3,75
80,80,90,110,130,110,Dragon,Psychic,Latias,600,3,95
80,90,80,130,110,110,Dragon,Psychic,Latios,600,3,110
100,100,90,150,140,90,Water,N/A,Kyogre,670,3,125
100,150,140,100,90,90,Ground,N/A,Groudon,670,3,125
105,150,90,150,90,95,Dragon,Flying,Rayquaza,680,3,150
100,100,100,100,100,100,Steel,Psychic,Jirachi,600,3,100
50,150,50,150,50,150,Psychic,N/A,Deoxys-Normal,600,3,150
55,68,64,45,55,31,Grass,N/A,Turtwig,318,4,56
75,89,85,55,65,36,Grass,N/A,Grotle,405,4,72
95,109,105,75,85,56,Grass,Ground,Torterra,525,4,92
44,58,44,58,44,61,Fire,N/A,Chimchar,309,4,58
64,78,52,78,52,81,Fire,Fighting,Monferno,405,4,78
76,104,71,104,71,108,Fire,Fighting,Infernape,534,4,104
53,51,53,61,56,40,Water,N/A,Piplup,314,4,56
64,66,68,81,76,50,Water,N/A,Prinplup,405,4,73
84,86,88,111,101,60,Water,Steel,Empoleon,530,4,98
40,55,30,30,30,60,Normal,Flying,Starly,245,4,42
55,75,50,40,40,80,Normal,Flying,Staravia,340,4,57
85,120,70,50,60,100,Normal,Flying,Staraptor,485,4,85
59,45,40,35,40,31,Normal,N/A,Bidoof,250,4,40
79,85,60,55,60,71,Normal,Water,Bibarel,410,4,70
37,25,41,25,41,25,Bug,N/A,Kricketot,194,4,25
77,85,51,55,51,65,Bug,N/A,Kricketune,384,4,70
45,65,34,40,34,45,Electric,N/A,Shinx,263,4,52
60,85,49,60,49,60,Electric,N/A,Luxio,363,4,72
80,120,79,95,79,70,Electric,N/A,Luxray,523,4,107
40,30,35,50,70,55,Grass,Poison,Budew,280,4,40
60,70,65,125,105,90,Grass,Poison,Roserade,515,4,97
67,125,40,30,30,58,Rock,N/A,Cranidos,350,4,77
97,165,60,65,50,58,Rock,N/A,Rampardos,495,4,115
30,42,118,42,88,30,Rock,Steel,Shieldon,350,4,42
60,52,168,47,138,30,Rock,Steel,Bastiodon,495,4,49
40,29,45,29,45,36,Bug,N/A,Burmy,224,4,29
60,59,85,79,105,36,Bug,Grass,Wormadam-Plant,424,4,69
70,94,50,94,50,66,Bug,Flying,Mothim,424,4,94
30,30,42,30,42,70,Bug,Flying,Combee,244,4,30
70,80,102,80,102,40,Bug,Flying,Vespiquen,474,4,80
60,45,70,45,90,95,Electric,N/A,Pachirisu,405,4,45
55,65,35,60,30,85,Water,N/A,Buizel,330,4,62
85,105,55,85,50,115,Water,N/A,Floatzel,495,4,95
45,35,45,62,53,35,Grass,N/A,Cherubi,275,4,48
70,60,70,87,78,85,Grass,N/A,Cherrim,450,4,73
76,48,48,57,62,34,Water,N/A,Shellos,325,4,52
111,83,68,92,82,39,Water,Ground,Gastrodon,475,4,87
75,100,66,60,66,115,Normal,N/A,Ambipom,482,4,80
90,50,34,60,44,70,Ghost,Flying,Drifloon,348,4,55
150,80,44,90,54,80,Ghost,Flying,Drifblim,498,4,85
55,66,44,44,56,85,Normal,N/A,Buneary,350,4,55
65,76,84,54,96,105,Normal,N/A,Lopunny,480,4,65
60,60,60,105,105,105,Ghost,N/A,Mismagius,495,4,82
100,125,52,105,52,71,Dark,Flying,Honchkrow,505,4,115
49,55,42,42,37,85,Normal,N/A,Glameow,310,4,48
71,82,64,64,59,112,Normal,N/A,Purugly,452,4,73
45,30,50,65,50,45,Psychic,N/A,Chingling,285,4,47
63,63,47,41,41,74,Poison,Dark,Stunky,329,4,52
103,93,67,71,61,84,Poison,Dark,Skuntank,479,4,82
57,24,86,24,86,23,Steel,Psychic,Bronzor,300,4,24
67,89,116,79,116,33,Steel,Psychic,Bronzong,500,4,84
50,80,95,10,45,10,Rock,N/A,Bonsly,290,4,45
