hp,attack,defense,special-attack,special-defense,speed,type_1,type_2,Pokemon,totalstat
72,58,80,103,80,97,psychic,flying,sigilyph,490
38,30,85,55,65,30,ghost,,yamask,303
58,50,145,95,105,30,ghost,,cofagrigus,483
54,78,103,53,45,22,water,rock,tirtouga,355
74,108,133,83,65,32,water,rock,carracosta,495
55,112,45,74,45,70,rock,flying,archen,401
75,140,65,112,65,110,rock,flying,archeops,567
50,50,62,40,62,65,poison,,trubbish,329
80,95,82,60,82,75,poison,,garbodor,474
40,65,40,80,40,65,dark,,zorua,330
60,105,60,120,60,105,dark,,zoroark,510
55,50,40,40,40,75,normal,,minccino,300
75,95,60,65,60,115,normal,,cinccino,470
45,30,50,55,65,45,psychic,,gothita,290
60,45,70,75,85,55,psychic,,gothorita,390
70,55,95,95,110,65,psychic,,gothitelle,490
45,30,40,105,50,20,psychic,,solosis,290
65,40,50,125,60,30,psychic,,duosion,370
110,65,75,125,85,30,psychic,,reuniclus,490
62,44,50,44,50,55,water,flying,ducklett,305
75,87,63,87,63,98,water,flying,swanna,473
36,50,50,65,60,44,ice,,vanillite,305
51,65,65,80,75,59,ice,,vanillish,395
71,95,85,110,95,79,ice,,vanilluxe,535
60,60,50,40,50,75,normal,grass,deerling,335
80,100,70,60,70,95,normal,grass,sawsbuck,475
55,75,60,75,60,103,electric,flying,emolga,428
50,75,45,40,45,60,bug,,karrablast,315
70,135,105,60,105,20,bug,steel,escavalier,495
69,55,45,55,55,15,grass,poison,foongus,294
114,85,70,85,80,30,grass,poison,amoonguss,464
55,40,50,65,85,40,water,ghost,frillish,335
100,60,70,85,105,60,water,ghost,jellicent,480
165,75,80,40,45,65,water,,alomomola,470
50,47,50,57,50,65,bug,electric,joltik,319
70,77,60,97,60,108,bug,electric,galvantula,472
44,50,91,24,86,10,grass,steel,ferroseed,305
74,94,131,54,116,20,grass,steel,ferrothorn,489
40,55,70,45,60,30,steel,,klink,300
60,80,95,70,85,50,steel,,klang,440
60,100,115,70,85,90,steel,,klinklang,520
35,55,40,45,40,60,electric,,tynamo,275
65,85,70,75,70,40,electric,,eelektrik,405
85,115,80,105,80,50,electric,,eelektross,515
55,55,55,85,55,30,psychic,,elgyem,335
75,75,75,125,95,40,psychic,,beheeyem,485
50,30,55,65,55,20,ghost,fire,litwick,275
60,40,60,95,60,55,ghost,fire,lampent,370
60,55,90,145,90,80,ghost,fire,chandelure,520
46,87,60,30,40,57,dragon,,axew,320
66,117,70,40,50,67,dragon,,fraxure,410
76,147,90,60,70,97,dragon,,haxorus,540
55,70,40,60,40,40,ice,,cubchoo,305
95,130,80,70,80,50,ice,,beartic,505
80,50,50,95,135,105,ice,,cryogonal,515
50,40,85,40,65,25,bug,,shelmet,305
80,70,40,100,60,145,bug,,accelgor,495
109,66,84,81,99,32,ground,electric,stunfisk,471
45,85,50,55,50,65,fighting,,mienfoo,350
65,125,60,95,60,105,fighting,,mienshao,510
77,120,90,60,90,48,dragon,,druddigon,485
59,74,50,35,50,35,ground,ghost,golett,303
89,124,80,55,80,55,ground,ghost,golurk,483
45,85,70,40,40,60,dark,steel,pawniard,340
65,125,100,60,70,70,dark,steel,bisharp,490
95,110,95,40,95,55,normal,,bouffalant,490
70,83,50,37,50,60,normal,flying,rufflet,350
100,123,75,57,75,80,normal,flying,braviary,510
70,55,75,45,65,60,dark,flying,vullaby,370
110,65,105,55,95,80,dark,flying,mandibuzz,510
85,97,66,105,66,65,fire,,heatmor,484
58,109,112,48,48,109,bug,steel,durant,484
52,65,50,45,50,38,dark,dragon,deino,300
72,85,70,65,70,58,dark,dragon,zweilous,420
92,105,90,125,90,98,dark,dragon,hydreigon,600
55,85,55,50,55,60,bug,fire,larvesta,360
85,60,65,135,105,100,bug,fire,volcarona,550
91,90,129,90,72,108,steel,fighting,cobalion,580
91,129,90,72,90,108,rock,fighting,terrakion,580
91,90,72,90,129,108,grass,fighting,virizion,580
79,115,70,125,80,111,flying,,tornadus-incarnate,580
79,115,70,125,80,111,electric,flying,thundurus-incarnate,580
100,120,100,150,120,90,dragon,fire,reshiram,680
100,150,120,120,100,90,dragon,electric,zekrom,680
89,125,90,115,80,101,ground,flying,landorus-incarnate,600
125,130,90,130,90,95,dragon,ice,kyurem,660
91,72,90,129,90,108,water,fighting,keldeo-ordinary,580
100,77,77,128,128,90,normal,psychic,meloetta-aria,600
71,120,95,120,95,99,bug,steel,genesect,600
